Rows & Cols, Channels, Filters, Memory Usage,,WS-1-ex, WS-(MAC/CYCLE),IM2COL-IC-1EX ,IM2C IC  (MAC/CYCLE), IM2C OC 1 EX, IM2C OC  (MAC/CYCLE), CONV OC 1 EX, CONV OC  (MAC/CYCLE)
16, 21, 18, 48kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 19, 49kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 20, 51kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 21, 52kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 22, 54kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 23, 55kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 24, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 25, 58kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 26, 60kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 27, 61kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 28, 63kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 29, 64kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 30, 66kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 31, 67kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 32, 69kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 21, 48, 93kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 21, 64, 117kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 21, 80, 141kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 21, 96, 165kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 21, 112, 189kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 21, 128, 213kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 21, 144, 237kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 22, 16, 46kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 22, 17, 48kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 18, 49kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 19, 51kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 20, 52kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 21, 54kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 22, 55kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 23, 57kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 24, 58kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 25, 60kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 26, 62kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 27, 63kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 28, 65kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 29, 66kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 30, 68kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 31, 69kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 32, 71kB, ,2871, ,1444 , ,12639, ,13717, ,
16, 22, 48, 95kB, ,2871, ,1444 , ,18939, ,20554, ,
16, 22, 64, 120kB, ,2871, ,1444 , ,25235, ,27390, ,
16, 22, 80, 145kB, ,2871, ,1444 , ,31528, ,34229, ,
16, 22, 96, 169kB, ,2871, ,1444 , ,37756, ,41173, ,
16, 22, 112, 194kB, ,2871, ,1444 , ,43822, ,48007, ,
16, 22, 128, 219kB, ,2871, ,1444 , ,49871, ,54896, ,
16, 22, 144, 243kB, ,2871, ,1444 , ,55927, ,61848, ,
16, 23, 16, 48kB, ,2871, ,1444 , ,6278, ,6994, ,
16, 23, 17, 49kB, ,2871, ,1444 , ,12639, ,13717, ,
